info,vehicle_id,link,record_date,vehicle_type
比亚迪 2016款 秦EV300 旗舰型2017年|1.4万公里|深圳13.28万急售准新车33.60万急降5200元,61432614@1@29@0&0120000000000057,https://www.guazi.com/sz/649195ab2bf0e53ex.htm#fr_page=list&fr_pos=city&fr_no=29,2018-12-03,EV
长安CS15EV 2018款 350i2011年|2.1万公里|青岛7.76万急售21.30万急降2400元,58456774@1@30@0&0120000000000057,https://www.guazi.com/qd/84507e209ee9d510x.htm#fr_page=list&fr_pos=city&fr_no=30,2018-12-03,EV
知豆D2 2015款 D22017年|0.7万公里|深圳2.80万准新车17.20万,58079902@1@31@0&0120000000000057,https://www.guazi.com/sz/32126a54a25cecb9x.htm#fr_page=list&fr_pos=city&fr_no=31,2018-12-03,EV
奇瑞QQ3EV 2014款 运动版2015年|4.8万公里|盐城2.09万急售5.10万急降1100元,60239841@1@32@0&0120000000000057,https://www.guazi.com/yancheng/532fb0c04e686b19x.htm#fr_page=list&fr_pos=city&fr_no=32,2018-12-03,EV
北汽新能源 EV系列 2015款 EV200 轻快版2015年|13.2万公里|上海4.50万22.70万,63736290@1@33@0&0120000000000057,https://www.guazi.com/sh/32b64b6b47eb6487x.htm#fr_page=list&fr_pos=city&fr_no=33,2018-12-03,EV
北汽新能源 EC系列 2017款 EC180 灵动版2017年|1.1万公里|保定3.80万准新车16.50万新上架,63764363@1@34@0&0120000000000057,https://www.guazi.com/baoding/3dd938c3e5585c05x.htm#fr_page=list&fr_pos=city&fr_no=34,2018-12-03,EV
北汽新能源 EV系列 2014款 E150EV 科技版2014年|6.3万公里|北京3.10万超值25.10万,63503117@1@35@0&0120000000000057,https://www.guazi.com/bj/da3d90a6bae62ee1x.htm#fr_page=list&fr_pos=city&fr_no=35,2018-12-03,EV
比亚迪e5 2017款 300 e享型2017年|1.4万公里|安庆7.60万超值准新车21.30万新上架,63935242@1@36@0&0120000000000057,https://www.guazi.com/anqing/68d91c2738309197x.htm#fr_page=list&fr_pos=city&fr_no=36,2018-12-03,EV
众泰E200 2017款 豪华型2017年|0.6万公里|北京5.00万准新车19.50万新上架,63948288@1@37@0&0120000000000057,https://www.guazi.com/bj/9ea8935d8599d7dex.htm#fr_page=list&fr_pos=city&fr_no=37,2018-12-03,EV
江淮iEV 2015款 iEV4 豪华智能型2016年|0.8万公里|深圳4.15万急售16.80万急降500元,39535665@1@38@0&0120000000000057,https://www.guazi.com/sz/ce436ebc751dc0dex.htm#fr_page=list&fr_pos=city&fr_no=38,2018-12-03,EV
北汽新能源 EV系列 2015款 EV200 轻快版2015年|0.5万公里|北京5.00万22.70万,54283479@1@39@0&0120000000000057,https://www.guazi.com/bj/ba977570ba611efbx.htm#fr_page=list&fr_pos=city&fr_no=39,2018-12-03,EV
长安奔奔 2017款 纯电动 210公里时尚型2017年|1.1万公里|北京5.70万准新车18.10万,28782320@2@0@0&0120000000000057,https://www.guazi.com/bj/9f7b67b23adb48f4x.htm#fr_page=list&fr_pos=city&fr_no=0,2018-12-03,EV
比亚迪e5 2017款 300 e享型2017年|5.9万公里|天津9.00万21.30万新上架,61752292@2@1@0&0120000000000057,https://www.guazi.com/tj/c098ce393921a3c3x.htm#fr_page=list&fr_pos=city&fr_no=1,2018-12-03,EV
长城C30新能源 2017款 EV 悦享型2017年|0.7万公里|保定5.10万超值急售准新车16.30万急降2000元,62709103@2@2@0&0120000000000057,https://www.guazi.com/baoding/1b30e22a592aa1dbx.htm#fr_page=list&fr_pos=city&fr_no=2,2018-12-03,EV
长安欧尚 奔奔mini-e 2017款 标准型2018年|100公里|唐山3.90万急售准新车9.00万急降6000元,61990050@2@3@0&0120000000000057,https://www.guazi.com/tangshan/449bab1539b1312cx.htm#fr_page=list&fr_pos=city&fr_no=3,2018-12-03,EV
知豆D1 2016款 标准型2017年|0.5万公里|济宁3.50万急售准新车17.20万急降4800元,60717151@2@4@0&0120000000000057,https://www.guazi.com/jining/9956a168285ad910x.htm#fr_page=list&fr_pos=city&fr_no=4,2018-12-03,EV
北汽新能源 EV系列 2014款 E150EV 科技版2014年|6.5万公里|北京3.30万超值25.10万,62434779@2@5@0&0120000000000057,https://www.guazi.com/bj/b74c32c90a09c5a3x.htm#fr_page=list&fr_pos=city&fr_no=5,2018-12-03,EV
江淮iEV 2015款 iEV52015年|3.5万公里|北京3.20万超值19.50万,62001648@2@6@0&0120000000000057,https://www.guazi.com/bj/ef12ed5f48aca5e0x.htm#fr_page=list&fr_pos=city&fr_no=6,2018-12-03,EV
