title,car_number,price,new_car_price,licensing_time,miles,license_location,battery_volume,battery_power_data,battery_torque_data,endurance_miles,make,type,record_date,RV_ratio,months
众泰 芝麻 2017款 标准型    ,HC-50947786,38000.0,130000.0,2017-12-01,5500.0,铜陵,16.0,30.0,150.0,150.0,众泰汽车,微型车,2018-11-28,0.2923076923076923,11
江铃集团新能源 江淮iEV6E 2017款 iEV6E    ,HC-48851071,51600.0,139000.0,2018-02-01,200.0,日照,22.0,45.0,175.0,170.0,江淮汽车,微型车,2018-11-28,0.3712230215827338,9
江铃集团新能源 江淮iEV6E 2017款 iEV6E    ,HC-48960152,52000.0,139000.0,2018-01-01,3900.0,安阳,22.0,45.0,175.0,170.0,江淮汽车,微型车,2018-11-28,0.37410071942446044,10
北汽新能源 EV系列 2016款 E150EV 经典版  ,HC-50926165,59800.00000000001,172000.0,2016-11-01,100.0,青岛,25.6,45.0,144.0,150.0,北汽新能源,小型车,2018-11-28,0.3476744186046512,24
众泰 2014款 云100 舒适型 ,HC-49562915,25000.0,172000.0,2015-03-01,16500.0,潍坊,18.0,18.0,120.0,155.0,众泰汽车,微型车,2018-11-28,0.14534883720930233,44
江铃集团新能源 江淮iEV6E 2017款 iEV6E    ,HC-48052368,47500.0,139000.0,2017-12-01,3500.0,天津,22.0,45.0,175.0,170.0,江淮汽车,微型车,2018-11-28,0.34172661870503596,11
众泰 2016款 云100S 豪华型   ,HC-50978201,29800.0,184000.0,2016-08-01,35000.0,青岛,22.0,27.0,140.0,155.0,众泰汽车,微型车,2018-11-28,0.16195652173913044,27
北汽新能源 EV系列 2016款 E150EV 经典版  ,HC-50077151,43000.0,172000.0,2016-11-01,13700.000000000002,青岛,25.6,45.0,144.0,150.0,北汽新能源,小型车,2018-11-28,0.25,24
江淮iEV 2015款 iEV4 豪华型  ,HC-50813647,36000.0,166000.0,2016-12-01,38300.0,天津,19.2,42.0,170.0,152.0,江淮汽车,小型车,2018-11-28,0.21686746987951808,23
江铃集团新能源 江淮iEV6E 2017款 iEV6E   ,HC-50937661,50400.0,139000.0,2017-10-01,100.0,衡水,22.0,45.0,175.0,170.0,江淮汽车,微型车,2018-11-28,0.36258992805755397,13
江铃集团新能源 江铃E200 2016款 标准型  ,HC-50357206,39800.0,195000.0,2017-06-01,100.0,安庆,17.3,30.0,130.0,152.0,江铃集团新能源,微型车,2018-11-28,0.2041025641025641,17
康迪 2016款 K17A 时尚型 ,HC-48098096,40000.0,179000.0,2016-12-01,12500.0,天津,20.0,35.0,165.0,151.0,康迪电动汽车集团,小型车,2018-11-28,0.22346368715083798,23
北汽新能源 EV系列 2014款 E150EV 科技版  ,HC-49931085,50000.0,251000.0,2015-05-01,32400.000000000004,青岛,25.6,45.0,144.0,150.0,北汽新能源,小型车,2018-11-28,0.199203187250996,42
知豆D2 2016款 D2   ,HC-48127949,31500.0,172000.0,2017-08-01,3800.0,深圳,18.0,15.0,95.0,155.0,知豆电动车,微型车,2018-11-28,0.18313953488372092,15
江淮iEV 2015款 iEV4 豪华型  ,HC-46832616,29500.0,166000.0,2015-09-01,24900.000000000004,郑州,19.2,42.0,170.0,152.0,江淮汽车,小型车,2018-11-28,0.17771084337349397,38
宝马i3 2014款 豪华型(进口)  ,HC-50666154,215000.0,488000.0,2016-06-01,36900.0,上海,19.0,125.0,250.0,185.0,宝马(进口),小型车,2018-11-28,0.4405737704918033,29
众泰 芝麻 2017款 标准型   ,HC-52550358,39900.0,130000.0,2017-12-01,4200.0,开封,16.0,30.0,150.0,150.0,众泰汽车,微型车,2018-11-28,0.3069230769230769,11
特斯拉MODEL S 2016款 MODEL S 60   ,HC-50733689,580000.0,769000.0,2017-11-01,5699.999999999999,上海,60.0,284.8,440.0,400.0,特斯拉,中大型车,2018-11-28,0.7542262678803641,12
奇瑞 艾瑞泽5e 2017款 智享版  ,HC-54110348,129800.0,242000.0,2017-12-01,600.0,濮阳,49.0,90.0,276.0,351.0,奇瑞新能源,紧凑型车,2018-11-28,0.5363636363636364,11
电咖汽车 电咖·EV10 2018款 专业版   ,HC-50956973,60000.0,145000.0,2017-12-01,6300.0,台州,21.0,42.0,150.0,155.0,电咖汽车,微型车,2018-11-28,0.41379310344827586,11
江铃集团新能源 江铃E100 2016款 标准型   ,HC-46655288,30000.0,169000.0,2017-11-01,2200.0,重庆,15.0,20.0,110.0,152.0,江铃集团新能源,微型车,2018-11-28,0.17751479289940827,12
长城C30新能源 2017款 EV 豪华型   ,HC-48761001,66000.0,155000.0,2017-12-01,1100.0,漳州,26.57,90.0,240.0,200.0,长城汽车,紧凑型车,2018-11-28,0.4258064516129032,11
北汽新能源 EC系列 2017款 EC180 灵动版    ,HC-48731489,37000.0,165000.0,2017-04-01,18300.0,邯郸,20.3,30.0,140.0,156.0,北汽新能源,微型车,2018-11-28,0.22424242424242424,19
奇瑞eQ1 2017款 智炫版 2座   ,HC-50848431,46000.0,180000.0,2017-09-01,18500.0,郑州,18.2,30.0,120.0,151.0,奇瑞新能源,微型车,2018-11-28,0.25555555555555554,14
江淮iEV 2015款 iEV4 豪华智能型  ,HC-47217506,35000.0,168000.0,2016-10-01,64200.0,广州,19.2,42.0,170.0,152.0,江淮汽车,小型车,2018-11-28,0.20833333333333334,25
北汽新能源 EC系列 2017款 EC180 灵秀版  ,HC-51277976,41800.0,171000.0,2017-12-01,9900.0,南阳,20.3,30.0,140.0,156.0,北汽新能源,微型车,2018-11-28,0.24444444444444444,11
江淮iEV 2015款 iEV5  ,HC-43058627,45000.0,195000.0,2016-12-01,11800.0,福州,23.0,50.0,215.0,170.0,江淮汽车,小型车,2018-11-28,0.23076923076923078,23
奇瑞eQ1 2017款 智享版 2座   ,HC-50934499,43000.0,176000.0,2017-12-01,9300.0,莆田,18.2,30.0,120.0,151.0,奇瑞新能源,微型车,2018-11-28,0.24431818181818182,11
江淮iEV 2014款 iEV4  ,HC-48843100,42699.99999999999,184000.0,2016-10-01,18600.0,宿州,19.2,42.0,170.0,152.0,江淮汽车,小型车,2018-11-28,0.2320652173913043,25
江铃集团新能源 江铃E160 2017款 舒适型   ,HC-49911151,41400.0,104000.0,2017-05-01,15300.0,衢州,20.0,35.0,165.0,152.0,江铃集团新能源,小型车,2018-11-28,0.39807692307692305,18
江铃集团新能源 江淮iEV6E 2017款 iEV6E  ,HC-46814401,46000.0,139000.0,2017-10-01,16700.0,温州,22.0,45.0,175.0,170.0,江淮汽车,微型车,2018-11-28,0.33093525179856115,13
江铃集团新能源 江铃E200 2016款 标准型   ,HC-47549630,32000.0,195000.0,2017-06-01,20299.999999999996,镇江,17.3,30.0,130.0,152.0,江铃集团新能源,微型车,2018-11-28,0.1641025641025641,17
北汽新能源 EV系列 2015款 EV200 轻享版  ,HC-49847160,50000.0,268000.0,2015-10-01,56400.0,上海,30.4,53.0,180.0,200.0,北汽新能源,小型车,2018-11-28,0.1865671641791045,37
江淮iEV7S 2017款 智尊型   ,HC-49149459,90000.0,225000.0,2018-06-01,6700.0,深圳,39.0,85.0,270.0,280.0,江淮汽车,小型SUV,2018-11-28,0.4,5
江铃集团新能源 江淮iEV6E 2017款 iEV6E   ,HC-49448529,53000.0,139000.0,2017-07-01,500.0,徐州,22.0,45.0,175.0,170.0,江淮汽车,微型车,2018-11-28,0.381294964028777,16
奇瑞eQ 2015款 豪华型  ,HC-49401008,25000.0,179000.0,2015-04-01,46200.0,上海,22.3,41.8,150.0,151.0,奇瑞新能源,微型车,2018-11-28,0.13966480446927373,43
长安 奔奔 2017款 纯电动 210公里标准型  ,HC-49155715,60000.0,175000.0,2017-11-01,31200.0,深圳,27.5,55.0,170.0,210.0,长安汽车,微型车,2018-11-28,0.34285714285714286,12
比亚迪e6 2014款 精英版   ,HC-48273250,115000.0,358000.0,2015-07-01,58200.0,北京,57.0,90.0,450.0,300.0,比亚迪,MPV,2018-11-28,0.32122905027932963,40
众泰 2016款 云100S 豪华型  ,HC-55301284,46000.0,184000.0,2016-11-01,22100.0,青岛,22.0,27.0,140.0,155.0,众泰汽车,微型车,2018-11-28,0.25,24
江铃集团新能源 江铃E100 2016款 标准型   ,HC-49842808,40400.0,169000.0,2017-12-01,1000.0,湛江,15.0,20.0,110.0,152.0,江铃集团新能源,微型车,2018-11-28,0.23905325443786982,11
江铃集团新能源 江铃E200 2016款 标准型  ,HC-50285872,35000.0,195000.0,2016-11-01,37600.0,镇江,17.3,30.0,130.0,152.0,江铃集团新能源,微型车,2018-11-28,0.1794871794871795,24
东风风神E30 2015款 E30L  ,HC-48553450,35000.0,217000.0,2015-12-01,45000.0,武汉,20.5,17.0,64.0,150.0,东风乘用车,微型车,2018-11-28,0.16129032258064516,35
江淮iEV 2015款 iEV4 豪华智能型   ,HC-46079379,38000.0,168000.0,2016-10-01,35600.0,北京,19.2,42.0,170.0,152.0,江淮汽车,小型车,2018-11-28,0.2261904761904762,25
江铃集团新能源 江淮iEV6E 2017款 iEV6E 时光版   ,HC-49450994,48500.0,129000.0,2018-03-01,3200.0,衡水,19.66,60.0,200.0,156.0,江淮汽车,微型车,2018-11-28,0.375968992248062,8
长安欧尚 奔奔mini-e 2017款 标准型   ,HC-48255549,31500.0,90000.0,2017-10-01,2700.0,达州,17.3,30.0,150.0,151.0,长安汽车,微型车,2018-11-28,0.35,13
知豆D2 2016款 D2S   ,HC-47944056,35000.0,205000.0,2017-12-01,10500.0,深圳,18.0,15.0,95.0,155.0,知豆电动车,微型车,2018-11-28,0.17073170731707318,11
众泰 芝麻E30 2016款 E30标准型 ,HC-51264989,28000.0,195000.0,2015-12-01,8700.0,武汉,16.0,30.0,150.0,150.0,众泰汽车,微型车,2018-11-28,0.14358974358974358,35
御捷E行 2018款 标准型   ,HC-46575452,40000.0,148000.0,2017-12-01,1400.0000000000002,昆明,22.0,36.0,230.0,153.0,御捷新能源,微型车,2018-11-28,0.2702702702702703,11
江淮iEV 2015款 iEV5  ,HC-48656196,45000.0,195000.0,2016-12-01,74600.0,芜湖,23.0,50.0,215.0,170.0,江淮汽车,小型车,2018-11-28,0.23076923076923078,23
荣威eRX5 2017款 ERX5 EV400 电动互联网旗舰版   ,HC-50016781,165000.0,306000.0,2018-02-01,5500.0,烟台,48.3,85.0,255.0,320.0,上汽集团,紧凑型SUV,2018-11-28,0.5392156862745098,9
江淮iEV 2015款 iEV4 豪华型 ,HC-49342855,40000.0,166000.0,2015-11-01,49500.0,太原,19.2,42.0,170.0,152.0,江淮汽车,小型车,2018-11-28,0.24096385542168675,36
北汽新能源 EC系列 2017款 EC180 灵动版   ,HC-50837628,47699.99999999999,165000.0,2017-12-01,700.0000000000001,葫芦岛,20.3,30.0,140.0,156.0,北汽新能源,微型车,2018-11-28,0.28909090909090907,11
吉利 帝豪EV 2017款 三厢 EV300 精英型   ,HC-50887216,128000.0,223000.0,2017-10-01,32200.000000000004,深圳,41.0,95.0,240.0,300.0,吉利汽车,紧凑型车,2018-11-28,0.5739910313901345,13
江淮iEV 2017款 iEV4 豪华型  ,HC-48785625,50000.0,148000.0,2017-08-01,3600.0,孝感,23.0,42.0,165.0,170.0,江淮汽车,小型车,2018-11-28,0.33783783783783783,15
江淮iEV 2015款 iEV5  ,HC-47854094,43000.0,195000.0,2015-09-01,49800.00000000001,武汉,23.0,50.0,215.0,170.0,江淮汽车,小型车,2018-11-28,0.2205128205128205,38
众泰E200 2018款 飞鱼座   ,HC-47547535,59800.00000000001,197000.0,2018-06-01,100.0,南阳,24.5,60.0,160.0,165.0,众泰汽车,微型车,2018-11-28,0.3035532994923858,5
